category,num_products,avg_actual_price,avg_discounted_price,avg_discount_percentage,avg_rating,total_reviews
Car&Motorbike|CarAccessories|InteriorAccessories|AirPurifiers&Ionizers,1,4000.0,2339.0,42.0,3.8,0
Computers&Accessories|Accessories&Peripherals|Adapters|USBtoUSBAdapters,2,2699.0,221.5,78.5,4.15,0
Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCHeadsets,1,999.0,649.0,35.0,3.5,0
Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCMicrophones,2,1249.5,574.0,56.5,3.5999999999999996,0
Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCSpeakers,2,1399.5,749.0,46.5,4.05,0
Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|Webcams&VoIPEquipment|Webcams,2,4042.5,1940.0,44.5,4.199999999999999,0
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|CableConnectionProtectors,2,999.0,99.0,90.0,4.033333333333333,0
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|DVICables,1,1100.0,499.0,55.0,4.4,0
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|EthernetCables,2,599.0,262.5,54.0,4.4,0
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|SATACables,1,999.0,349.0,65.0,3.9,817
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,161,906.0228326180257,360.7236909871244,59.377682403433475,4.151931330472103,24503
Computers&Accessories|Accessories&Peripherals|HardDiskBags,3,665.6666666666666,298.3333333333333,54.333333333333336,4.333333333333333,0
Computers&Accessories|Accessories&Peripherals|HardDriveAccessories|Caddies,1,799.0,199.0,75.0,4.1,0
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|GraphicTablets",11,1320.8181818181818,569.8181818181819,60.81818181818182,3.9818181818181815,774
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MiceAccessories|DustCovers",2,649.0,77.0,87.5,3.4,0
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MiceAccessories|MousePads",8,959.875,368.625,61.25,4.375,491
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MouseSets",10,1777.6,1188.7,32.1,4.05,427
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboards",5,1857.4,1282.4,35.0,4.12,0
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Mice",24,1055.7916666666667,609.3333333333334,42.041666666666664,4.2875000000000005,23
Computers&Accessories|Accessories&Peripherals|LaptopAccessories,1,2490.0,1399.0,44.0,4.3,0
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Bags&Sleeves|LaptopSleeves&Slipcases,6,1015.6666666666666,360.6666666666667,61.833333333333336,4.25,0
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|CameraPrivacyCovers,2,199.0,122.33333333333333,25.666666666666668,4.3,255
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|CoolingPads,2,1499.0,799.0,45.0,4.1,0
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Lapdesks,14,1945.4285714285713,672.5714285714286,58.92857142857143,4.064285714285714,1292
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|LaptopChargers&PowerSupplies,5,1868.0,809.2,61.0,3.9799999999999995,0
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|NotebookComputerStands,3,1665.6666666666667,415.6666666666667,75.66666666666667,4.3,903
Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|Gamepads,3,2013.0,899.0,52.333333333333336,4.266666666666667,0
Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|GamingKeyboards,3,2932.6666666666665,1772.3333333333333,39.0,4.366666666666666,408
Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|GamingMice,6,1622.8333333333333,943.6666666666666,33.5,4.383333333333334,0
Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|Headsets,3,3432.3333333333335,1312.6666666666667,56.666666666666664,4.033333333333333,0
"Computers&Accessories|Accessories&Peripherals|TabletAccessories|Bags,Cases&Sleeves|Cases",2,1999.0,549.0,70.5,4.3,0
Computers&Accessories|Accessories&Peripherals|TabletAccessories|ScreenProtectors,5,1519.0,558.0,63.8,4.18,1361
Computers&Accessories|Accessories&Peripherals|TabletAccessories|Stands,1,499.0,149.0,70.0,4.1,0
Computers&Accessories|Accessories&Peripherals|USBGadgets|Lamps,5,247.0,104.8,16.0,3.94,241
Computers&Accessories|Accessories&Peripherals|USBHubs,5,945.0,553.0,43.4,3.94,0
Computers&Accessories|Accessories&Peripherals|UninterruptedPowerSupplies,1,4100.0,3299.0,20.0,3.9,0
Computers&Accessories|Components|InternalHardDrives,1,999.0,199.0,80.0,4.2,362
Computers&Accessories|Components|InternalSolidStateDrives,3,4400.0,2277.0,48.0,4.3999999999999995,0
Computers&Accessories|Components|Memory,1,3500.0,1792.0,49.0,4.5,0
Computers&Accessories|ExternalDevices&DataStorage|ExternalHardDisks,6,4642.666666666667,3516.8333333333335,27.0,4.3999999999999995,74
Computers&Accessories|ExternalDevices&DataStorage|ExternalMemoryCardReaders,1,999.0,549.0,45.0,4.3,0
Computers&Accessories|ExternalDevices&DataStorage|ExternalSolidStateDrives,1,32000.0,10389.0,68.0,4.4,0
Computers&Accessories|ExternalDevices&DataStorage|PenDrives,10,1660.0,668.6,56.9,4.26,0
Computers&Accessories|Laptops|TraditionalLaptops,1,59890.0,37247.0,38.0,4.0,323
Computers&Accessories|Monitors,2,16430.0,8199.0,50.5,4.25,0
Computers&Accessories|NetworkingDevices,1,3490.0,1199.0,66.0,4.1,0
Computers&Accessories|NetworkingDevices|DataCards&Dongles,1,3250.0,2099.0,35.0,3.8,0
Computers&Accessories|NetworkingDevices|NetworkAdapters|BluetoothAdapters,1,899.0,599.0,33.0,4.3,0
Computers&Accessories|NetworkingDevices|NetworkAdapters|PowerLANAdapters,1,1999.0,1199.0,40.0,4.5,0
Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,14,1388.4444444444443,722.1111111111111,49.111111111111114,4.094444444444445,775
Computers&Accessories|NetworkingDevices|Repeaters&Extenders,3,3865.6666666666665,1652.3333333333333,54.333333333333336,4.2,0
Computers&Accessories|NetworkingDevices|Routers,9,2978.222222222222,1626.3333333333333,44.666666666666664,4.2555555555555555,0
"Computers&Accessories|Printers,Inks&Accessories|Inks,Toners&Cartridges|InkjetInkCartridges",4,687.25,612.5,13.0,4.25,0
"Computers&Accessories|Printers,Inks&Accessories|Inks,Toners&Cartridges|InkjetInkRefills&Kits",1,1999.0,549.0,73.0,4.3,0
"Computers&Accessories|Printers,Inks&Accessories|Inks,Toners&Cartridges|TonerCartridges",1,1150.0,598.0,48.0,4.1,0
"Computers&Accessories|Printers,Inks&Accessories|Printers",3,5897.653333333333,5065.666666666667,13.666666666666666,3.6666666666666665,0
"Computers&Accessories|Printers,Inks&Accessories|Printers|InkjetPrinters",2,6750.0,5923.5,11.5,3.5999999999999996,0
Computers&Accessories|Tablets,1,37999.0,26999.0,29.0,4.6,0
Electronics|Accessories|MemoryCards|MicroSD,10,2169.0,839.7692307692307,58.84615384615385,4.330769230769231,0
Electronics|Accessories|MemoryCards|SecureDigitalCards,1,800.0,449.0,44.0,4.4,0
Electronics|Cameras&Photography|Accessories|Batteries&Chargers|BatteryChargers,1,400.0,299.0,25.0,3.8,0
Electronics|Cameras&Photography|Accessories|Cleaners|CleaningKits,1,499.0,299.0,40.0,4.2,0
Electronics|Cameras&Photography|Accessories|Film,1,549.0,549.0,0.0,4.5,0
Electronics|Cameras&Photography|Accessories|PhotoStudio&Lighting|PhotoBackgroundAccessories|BackgroundSupports,1,1299.0,699.0,46.0,4.3,0
Electronics|Cameras&Photography|Accessories|Tripods&Monopods|CompleteTripodUnits,1,2495.0,1549.0,38.0,4.4,0
Electronics|Cameras&Photography|Accessories|Tripods&Monopods|Tabletop&TravelTripods,2,2394.5,562.5,69.5,4.35,0
Electronics|Cameras&Photography|Accessories|Tripods&Monopods|TripodLegs,2,995.0,374.0,62.5,4.05,0
Electronics|Cameras&Photography|Flashes|Macro&RinglightFlashes,1,1999.0,799.0,60.0,3.8,0
Electronics|Cameras&Photography|SecurityCameras|DomeCameras,5,5097.6,2757.2,42.6,4.1,0
Electronics|Cameras&Photography|VideoCameras,1,1999.0,499.0,75.0,3.7,0
Electronics|GeneralPurposeBatteries&BatteryChargers,4,537.5,489.25,23.5,4.375,842
Electronics|GeneralPurposeBatteries&BatteryChargers|DisposableBatteries,7,388.42857142857144,327.42857142857144,14.285714285714286,4.414285714285715,1633
Electronics|GeneralPurposeBatteries&BatteryChargers|RechargeableBatteries,3,449.3333333333333,376.0,13.333333333333334,4.166666666666667,0
"Electronics|Headphones,Earbuds&Accessories|Adapters",1,999.0,120.0,88.0,3.9,0
"Electronics|Headphones,Earbuds&Accessories|Cases",1,499.0,119.0,76.0,4.3,0
"Electronics|Headphones,Earbuds&Accessories|Earpads",1,999.0,99.0,90.0,3.8,594
"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",51,2960.076923076923,976.1730769230769,58.26923076923077,3.898076923076923,882
"Electronics|Headphones,Earbuds&Accessories|Headphones|On-Ear",7,2644.0,1113.625,52.375,4.0625,0
"Electronics|Headphones,Earbuds&Accessories|Headphones|Over-Ear",2,3749.0,1224.0,69.0,4.0,0
Electronics|HomeAudio|Accessories|Adapters,1,600.0,209.0,65.0,4.4,0
Electronics|HomeAudio|Accessories|SpeakerAccessories|Mounts,1,1299.0,349.0,73.0,4.0,0
Electronics|HomeAudio|MediaStreamingDevices|StreamingClients,1,4699.0,4699.0,0.0,4.5,224
Electronics|HomeAudio|Speakers|BluetoothSpeakers,6,2746.0,1249.0,48.5,4.05,0
Electronics|HomeAudio|Speakers|MultimediaSpeakerSystems,1,799.0,499.0,38.0,3.9,0
Electronics|HomeAudio|Speakers|OutdoorSpeakers,4,2371.75,1049.0,56.25,4.0,418
Electronics|HomeAudio|Speakers|SoundbarSpeakers,1,12499.0,4999.0,60.0,4.2,0
Electronics|HomeAudio|Speakers|TowerSpeakers,1,3999.0,2299.0,43.0,3.8,282
"Electronics|HomeTheater,TV&Video|AVReceivers&Amplifiers",1,3100.0,1990.0,36.0,4.0,897
"Electronics|HomeTheater,TV&Video|Accessories|3DGlasses",1,3500.0,2699.0,23.0,3.5,621
"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",21,1175.25,406.2916666666667,59.791666666666664,4.254166666666667,1567
"Electronics|HomeTheater,TV&Video|Accessories|Cables|OpticalCables",3,1399.3333333333333,663.6666666666666,46.333333333333336,4.133333333333334,0
"Electronics|HomeTheater,TV&Video|Accessories|Cables|RCACables",2,979.0,464.0,50.5,4.300000000000001,0
"Electronics|HomeTheater,TV&Video|Accessories|Cables|SpeakerCables",1,795.0,399.0,50.0,4.4,0
"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",49,1170.4489795918366,438.9387755102041,59.51020408163265,3.8,12675
"Electronics|HomeTheater,TV&Video|Accessories|TVMounts,Stands&Turntables|TVWall&CeilingMounts",6,1791.3333333333333,872.6666666666666,51.166666666666664,4.033333333333333,290
"Electronics|HomeTheater,TV&Video|Projectors",3,18293.333333333332,9990.0,42.666666666666664,4.133333333333334,34
"Electronics|HomeTheater,TV&Video|SatelliteEquipment|SatelliteReceivers",3,2365.6666666666665,1155.0,51.333333333333336,4.266666666666667,301
"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",60,40132.84126984127,24840.190476190477,38.285714285714285,4.20952380952381,3213
"Electronics|HomeTheater,TV&Video|Televisions|StandardTelevisions",6,15329.666666666666,7180.833333333333,52.166666666666664,4.066666666666666,567
Electronics|Mobiles&Accessories|MobileAccessories|AutomobileAccessories|Cradles,3,1332.3333333333333,479.0,60.333333333333336,3.966666666666667,0
Electronics|Mobiles&Accessories|MobileAccessories|Cables&Adapters|OTGAdapters,2,497.0,139.0,72.0,4.25,0
Electronics|Mobiles&Accessories|MobileAccessories|Cases&Covers|BasicCases,4,1949.0,637.75,70.75,4.2,0
Electronics|Mobiles&Accessories|MobileAccessories|Chargers|AutomobileChargers,4,1199.0,495.8,58.0,4.18,0
Electronics|Mobiles&Accessories|MobileAccessories|Chargers|PowerBanks,11,2524.0,1551.5833333333333,38.0,4.125,0
Electronics|Mobiles&Accessories|MobileAccessories|Chargers|WallChargers,15,1218.5625,546.875,51.4375,4.14375,133
Electronics|Mobiles&Accessories|MobileAccessories|Décor,3,419.0,101.4,73.2,4.16,0
