category,avg_discount_percentage,max_discount,min_discount
Car&Motorbike|CarAccessories|InteriorAccessories|AirPurifiers&Ionizers,42.0,42,42
Computers&Accessories|Accessories&Peripherals|Adapters|USBtoUSBAdapters,78.5,94,63
Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCHeadsets,35.0,35,35
Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCMicrophones,56.5,60,53
Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCSpeakers,46.5,50,43
Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|Webcams&VoIPEquipment|Webcams,44.5,66,23
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|CableConnectionProtectors,90.0,90,90
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|DVICables,55.0,55,55
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|EthernetCables,54.0,66,42
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|SATACables,65.0,65,65
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,59.377682403433475,90,0
Computers&Accessories|Accessories&Peripherals|HardDiskBags,54.333333333333336,67,40
Computers&Accessories|Accessories&Peripherals|HardDriveAccessories|Caddies,75.0,75,75
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|GraphicTablets",60.81818181818182,85,8
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MiceAccessories|DustCovers",87.5,88,87
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MiceAccessories|MousePads",61.25,87,43
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MouseSets",32.1,44,19
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboards",35.0,69,17
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Mice",42.041666666666664,66,18
Computers&Accessories|Accessories&Peripherals|LaptopAccessories,44.0,44,44
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Bags&Sleeves|LaptopSleeves&Slipcases,61.833333333333336,80,50
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|CameraPrivacyCovers,25.666666666666668,77,0
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|CoolingPads,45.0,50,40
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Lapdesks,58.92857142857143,85,0
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|LaptopChargers&PowerSupplies,61.0,85,50
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|NotebookComputerStands,75.66666666666667,80,70
Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|Gamepads,52.333333333333336,58,46
